"qr_url","line1","line2"
"https://db.sheboyganlights.org/scan/DISP/726","FC-SponsorSign-01",""
"https://db.sheboyganlights.org/scan/DISP/988","FE-GoalSign",""
"https://db.sheboyganlights.org/scan/DISP/38","FE-OpenCloseSign",""
"https://db.sheboyganlights.org/scan/DISP/257","FE-RotaryGear-01",""
"https://db.sheboyganlights.org/scan/DISP/1018","FE-TuneRadio-1CH-01",""
"https://db.sheboyganlights.org/scan/DISP/1017","FE-TuneRadio-2CH-01",""
"https://db.sheboyganlights.org/scan/DISP/870","HW-Bright-02",""
"https://db.sheboyganlights.org/scan/DISP/615","HW-EventTrafficRight","-01"
"https://db.sheboyganlights.org/scan/DISP/618","HW-EventTrafficRight","-02"
"https://db.sheboyganlights.org/scan/DISP/619","HW-EventTrafficRight","-03"
"https://db.sheboyganlights.org/scan/DISP/873","HW-Making-02",""
"https://db.sheboyganlights.org/scan/DISP/872","HW-RotaryGear-02",""
"https://db.sheboyganlights.org/scan/DISP/871","HW-Spirits-02",""
"https://db.sheboyganlights.org/scan/DISP/1028","HW-TuneRadio-1CH-02",""
"https://db.sheboyganlights.org/scan/DISP/617","HW-WaitTime-5Min",""
"https://db.sheboyganlights.org/scan/DISP/11","WaitTime15Min",""
"https://db.sheboyganlights.org/scan/DISP/1015","ElfOnShelf-01",""
"https://db.sheboyganlights.org/scan/DISP/736","FC-SponsorSign-02",""
"https://db.sheboyganlights.org/scan/DISP/39","FE-Bright-04",""
"https://db.sheboyganlights.org/scan/DISP/253","FE-HeadlightsSign",""
"https://db.sheboyganlights.org/scan/DISP/40","FE-Making-04",""
"https://db.sheboyganlights.org/scan/DISP/41","FE-Spirits-04",""
"https://db.sheboyganlights.org/scan/DISP/770","SpeedLimit-01",""
"https://db.sheboyganlights.org/scan/DISP/917","SpeedLimit-03",""
"https://db.sheboyganlights.org/scan/DISP/771","TR-Abominable",""
"https://db.sheboyganlights.org/scan/DISP/769","TR-CharlieInTheBox",""
"https://db.sheboyganlights.org/scan/DISP/774","TR-FrostyComeBack",""
"https://db.sheboyganlights.org/scan/DISP/766","TR-Narwhal",""
"https://db.sheboyganlights.org/scan/DISP/773","TuneRadio-2CH-03",""
"https://db.sheboyganlights.org/scan/DISP/921","WA-Bright-03",""
"https://db.sheboyganlights.org/scan/DISP/919","WA-Making-03",""
"https://db.sheboyganlights.org/scan/DISP/922","WA-RotarySigngn",""
"https://db.sheboyganlights.org/scan/DISP/918","WA-Spirits-03",""
"https://db.sheboyganlights.org/scan/DISP/920","WA-WelcomeTo-02",""
"https://db.sheboyganlights.org/scan/DISP/729","FC-FBDonationSign",""
"https://db.sheboyganlights.org/scan/DISP/745","FC-SponsorSign-03",""
"https://db.sheboyganlights.org/scan/DISP/651","FC-Tent",""
"https://db.sheboyganlights.org/scan/DISP/746","FC-Wreath",""
"https://db.sheboyganlights.org/scan/DISP/670","SpeedLimit-02",""
"https://db.sheboyganlights.org/scan/DISP/739","TuneRadio-2CH-02",""
"https://db.sheboyganlights.org/scan/DISP/550","EC-ElfConductor",""
"https://db.sheboyganlights.org/scan/DISP/1019","ElfOnShelf-02",""
"https://db.sheboyganlights.org/scan/DISP/678","FC-SponsorSign-04",""
"https://db.sheboyganlights.org/scan/DISP/762","GW-HeatMisterFace",""
"https://db.sheboyganlights.org/scan/DISP/764","GW-HeatMisterPuff",""
"https://db.sheboyganlights.org/scan/DISP/759","GW-OMWFace",""
"https://db.sheboyganlights.org/scan/DISP/758","GW-OMWPuff",""
"https://db.sheboyganlights.org/scan/DISP/755","GW-Tree-01",""
"https://db.sheboyganlights.org/scan/DISP/756","GW-Tree-02",""
"https://db.sheboyganlights.org/scan/DISP/757","GW-Tree-03",""
"https://db.sheboyganlights.org/scan/DISP/763","GW-Tree-04",""
"https://db.sheboyganlights.org/scan/DISP/754","GW-Tree-05",""
"https://db.sheboyganlights.org/scan/DISP/761","GW-Tree-06",""
"https://db.sheboyganlights.org/scan/DISP/760","GW-Tree-07",""
"https://db.sheboyganlights.org/scan/DISP/781","PO-POSign",""
"https://db.sheboyganlights.org/scan/DISP/609","PN-DancingPeanuts",""
"https://db.sheboyganlights.org/scan/DISP/614","PN-LinusTree",""
"https://db.sheboyganlights.org/scan/DISP/610","PN-Pigpen",""
"https://db.sheboyganlights.org/scan/DISP/613","PN-SchroederAndLucy",""
"https://db.sheboyganlights.org/scan/DISP/611","PN-SnoopyDogHouse",""
"https://db.sheboyganlights.org/scan/DISP/612","PN-Woodstock","-SallyCharlie"
"https://db.sheboyganlights.org/scan/DISP/145","TC-10YearStocking",""
